first_name,last_name,email,phone,address_line,city,state,postal_code,country
Mia,Jackson,miajackson91@example.com,+1 (731) 767-8245,"2970 Elm St, Apt 121",Austin,TX,33788,USA
Noah,Hernandez,noahhernandez135@example.com,+1 (461) 483-3500,"5220 Hillcrest Way, Apt 171",Atlanta,GA,18799,USA
 LUCAS ,martinez,LUCASMARTINEZ76@EXAMPLE.COM,1-743-452-7971,"7853 Lakeview Dr, Apt 142",Chicago,IL,56112,USA
Mia,Lopez,mialopez44@example.com,+1 (228) 218-5279,"8885 Pine Rd, Apt 85",Atlanta,GA,86099,USA
Lucas,Brown,lucasbrown195@example.com,+1 (705) 126-6912,"2375 Lakeview Dr, Apt 61",Boston,MA,71263,USA
Abigail,Garcia,abigailgarcia159@example.com,+1 (648) 549-9586,"4159 Pine Rd, Apt 182",Austin,TX,57696,USA
Lucas,Thomas,lucasthomas75@example.com,+1 (217) 195-5820,"7442 Cedar Ln, Apt 203",Miami,FL,63005,USA
Ethan,Wilson,ethanwilson59@example.com,+1 (625) 163-4388,"8990 Sunset Blvd, Apt 120",Chicago,IL,61049,USA
Noah,Williams,noahwilliams186@example.com,+1 (656) 717-7981,"4943 Pine Rd, Apt 79",Chicago,IL,68183,USA
 MIA ,johnson, miajohnson129@example.com ,1-316-863-2041,"6997 Hillcrest Way, Apt 135",Denver,CO,68756,USA
Lucas,Rodriguez,lucasrodriguez57@example.com,+1 (492) 340-5451,"1369 Lakeview Dr, Apt 183",Miami,FL,51904,USA
Lucas,Rodriguez,lucasrodriguez87@example.com,+1 (757) 330-3441,"7065 Elm St, Apt 30",Boston,MA,28643,USA
James,Hernandez,jameshernandez73@example.com,+1 (563) 916-5232,"8088 Lakeview Dr, Apt 55",Denver,CO,46655,USA
 AVA ,Hernandez,avahernandez214@example.com,1-352-720-9446,8608 Pine Rd Apt 117,Miami,FL,52987,USA
 NOAH ,Wilson, noahwilson217@example.com ,1-685-371-4728,536 Oak St Apt 153,PHOENIX,AZ,86483,USA
Lucas,Miller,lucasmiller66@example.com,+1 (329) 584-2874,"2596 Cedar Ln, Apt 62",Austin,TX,70952,USA
Emma,Thomas,emmathomas65@example.com,+1 (558) 329-2124,"8937 Oak St, Apt 14",Austin,TX,14067,USA
Benjamin,Thomas,benjaminthomas28@example.com,+1 (422) 159-9883,"3211 Oak St, Apt 76",Denver,CO,51104,USA
 HARPER ,moore,HARPERMOORE118@EXAMPLE.COM,1-604-114-5332,1579 Maple Ave Apt 203,CHICAGO,IL,69609,USA
Noah,Jones,noahjones12@example.com,+1 (265) 494-7252,"7016 Hillcrest Way, Apt 153",Denver,CO,79352,USA
Evelyn,Thomas,evelynthomas181@example.com,+1 (933) 894-8498,"2309 Oak St, Apt 17",Denver,CO,48462,USA
Emma,Hernandez,emmahernandez132@example.com,+1 (481) 739-9984,"1176 Lakeview Dr, Apt 33",Denver,CO,59925,USA
Evelyn,Taylor,evelyntaylor55@example.com,+1 (936) 616-7991,"7351 Hillcrest Way, Apt 157",Chicago,IL,30861,USA
Elijah,Jackson,elijahjackson201@example.com,+1 (839) 837-6531,"2904 Oak St, Apt 169",Denver,CO,13718,USA
Emma,Hernandez,emmahernandez149@example.com,+1 (926) 755-7843,"9494 Elm St, Apt 104",Atlanta,GA,25096,USA
Abigail,Jackson,abigailjackson177@example.com,+1 (639) 101-6780,"2452 Cedar Ln, Apt 75",Boston,MA,84798,USA
Ethan,Anderson,ethananderson86@example.com,+1 (437) 395-5632,"4871 Hillcrest Way, Apt 9",Miami,FL,19329,USA
